Bus_Num,Name,LF_Area_Num,LZ_Num,Type,Type_Original,Final_V_pu,Final_A_deg,Final_V_pu_Original,Final_A_deg_Original,Load_MW,Load_MVAR,Gen_MW,Gen_MVAR,Base_KV,Desired_V_pu,Max_MVAR_V,Min_MVAR_V,MVAR_V_Limit,G_pu,B_pu,Remote_Con_Bus_Num,V_Measured,P_Measured,Q_Measured,ErrorVariance_V,ErrorVariance_P,ErrorVariance_Q
20,Bus 20    33,1,1,0,0,1.03,-16.8,1.03,-16.8,0.022000000000000002,0.006999999999999999,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
21,Bus 21    33,1,1,0,0,1.033,-16.42,1.033,-16.42,0.175,0.11199999999999999,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
22,Bus 22    33,1,1,0,0,1.033,-16.41,1.033,-16.41,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
23,Bus 23    33,1,1,0,0,1.027,-16.61,1.027,-16.61,0.032,0.016,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
24,Bus 24    33,1,1,0,0,1.021,-16.78,1.021,-16.78,0.087,0.067,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.043,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
25,Bus 25    33,1,1,0,0,1.017,-16.35,1.017,-16.35,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
26,Bus 26    33,1,1,0,0,1.0,-16.77,1.0,-16.77,0.035,0.023,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
27,Cloverdle 33,1,1,0,0,1.023,-15.82,1.023,-15.82,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
28,Cloverdle132,1,1,0,0,1.007,-11.97,1.007,-11.97,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
29,Bus 29    33,1,1,0,0,1.003,-17.06,1.003,-17.06,0.024,0.009000000000000001,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
30,Bus 30    33,1,1,0,0,0.992,-17.94,0.992,-17.94,0.106,0.019,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2,Claytor  132,1,1,2,2,1.043,-5.48,1.043,-5.48,0.217,0.127,0.4,0.5,132.0,1.045,0.5,-0.4,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
5,Fieldale 132,1,1,2,2,1.01,-14.37,1.01,-14.37,0.9420000000000001,0.19,0.0,0.37,132.0,1.01,0.4,-0.4,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
8,Reusens  132,1,1,2,2,1.01,-12.1,1.01,-12.1,0.3,0.3,0.0,0.373,132.0,1.01,0.4,-0.1,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
11,Roanoke   11,1,1,2,2,1.082,-14.39,1.082,-14.39,0.0,0.0,0.0,0.162,11.0,1.082,0.24,-0.06,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
13,Hancock   11,1,1,2,2,1.071,-15.24,1.071,-15.24,0.0,0.0,0.0,0.106,11.0,1.071,0.24,-0.06,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,Glen Lyn 132,1,1,3,3,1.06,0.0,1.06,0.0,0.0,0.0,2.602,-0.161,132.0,1.06,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
